Title,Text,Time,Url
"Полугодовая выручка ""Росинтер"" по МСФО выросла на 12,5%, чистый убыток - в 3,4 раза","© Reuters. Полугодовая выручка ""Росинтер"" по МСФО выросла на 12,5%, чистый убыток - в 3,4 раза

В частности, выручка ресторанного сегмента выросла на 11,3% (до 3,14 млрд рублей), выручка от франчайзинга - на 16,5% (до 84,4 млн рублей).
Валовая прибыль повысилась на 38,9% - до 594,89 млн рублей, валовая маржа составила 18,1% против 14,7% годом ранее. Рост показателя был в основном обусловлен сокращением расходов на аренду - в результате снижения арендных ставок после переговоров с арендодателями и приостановки деятельности ресторанов в международных зонах в связи с геополитической обстановкой, говорится в сообщении ""Росинтера"".
Коммерческие, общехозяйственные и административные расходы сократились на 2% - до 458,56 млн рублей (или до 14% от выручки с 16% годом ранее).
Расходы на открытие ресторанов упали до 7,03 млн рублей с 37,13 млн рублей в связи с приостановкой расширения сети.
EBITDA до обесценения и списаний составила 264,97 млн рублей, что на 4,6% меньше, чем годом ранее.
Чистый убыток увеличился в 3,4 раза - до 120,23 млн рублей с 35,05 млн рублей. Основная разница показателей обусловлена списанием льготного кредита в 2021 году.
В апреле ""Росинтер"" был включен в список системообразующих предприятий, что дает бизнесу дополнительные возможности получения мер господдержки в условиях экономического кризиса, сказала она. Компания также продолжит работать над ростом прибыльности и повышением операционной эффективности, добавила глава ""Росинтера"".
ПАО ""Росинтер Ресторантс Холдинг"" - один из крупнейших операторов в сегменте семейных ресторанов (casual dining restaurants) в России. На 30 июня компания управляла 219 предприятиями в 30 городах России, СНГ и Центральной Европы, включая страны Балтии. В состав сети входит 121 корпоративный и 98 франчайзинговых ресторанов и кафе. Компания развивает собственные бренды ""IL Патио"", ""Планета Суши"", ""Шикари"", ""Американский Бар и Гриль"", ""Мама Раша"", а также управляет по системе франчайзинга сетью ресторанов TGI Fridays и кофеен Costa Coffee. Акции ""Росинтера"" обращаются на Московской бирже.","29.08.2022, 14:04",https://ru.investing.com/news/stock-market-news/article-2178507
McDonald's договорился о продаже российского бизнеса своему франчайзи Александру Говору,"© Reuters. McDonald's договорился о продаже российского бизнеса своему франчайзи Александру Говору

Сделка зависит от определенных условий, включая одобрение регуляторов, ее закрытие ожидается в ближайшие недели, говорится в сообщении McDonald's.
По условиям сделки Говор приобретает все ресторанное портфолио сети и в дальнейшем будет развивать его под новым брендом.
Соглашение также предусматривает, что покупатель сохранит персонал и условия для них как минимум на два года. Покупатель также согласился профинансировать зарплаты корпоративных сотрудников, которые работают в 45 регионах страны, до закрытия сделки. Кроме того, он также будет финансировать существующие обязательства перед поставщиками, арендодателями и коммунальными службами.
Говор - бенефициар ООО ""ГиД"", которое развивает сеть McDonald's в Сибирском федеральном округе. Он также владеет 50% АО ""Нефтехимсервис"" (инвестор строительства и собственник Яйского НПЗ в Кузбассе). Кроме того, Говор - экс-владелец девелоперской компании АО ""Инрусинвест"" и входит в ее совет директоров. В числе проектов ""Инрусинвеста"" - трехзвездочный отель Park Inn by Radisson и медицинский центр Grand Medica в Новокузнецке.
McDonald's с 14 марта закрыл свои рестораны в РФ, а 16 мая компания объявила об уходе с российского рынка. ""Гуманитарный кризис, вызванный войной на Украине, и ускоряющаяся непредсказуемость операционной среды привели McDonald's к заключению, что дальнейшее владение бизнесом в России нецелесообразно и не соответствует ценностям McDonald's"", - объясняла компания.
В 1-м квартале McDonald's зафиксировал расходы в размере $127 млн в результате приостановки работы на рынках России и Украины. Эта сумма включает $27 млн, потраченные компанией на выплаты сотрудникам, поставщикам и оплату аренды, а также списание стоимости нереализованных запасов на $100 млн.
После объявления о планах продать бизнес в РФ McDonald's сообщил, что ожидает списания в размере $1,2-1,4 млрд, которые преимущественно буду неденежными.
Первый ресторан McDonald's в России открылся в Москве на Пушкинской площади в 1990 году. Этот ресторан компания на своем сайте называла самым посещаемым в мире. В настоящее время сеть объединяет более 850 ресторанов. Большинством точек в стране компания управляла самостоятельно, ее франчайзинговыми партнерами в РФ были ПАО ""Росинтер (MCX:ROST) Ресторантс Холдинг"" (девять точек), ""ГиД"" и ""Региональная сеть предприятий питания"" (ООО ""СПП"").ROST ) Ресторантс Холдинг"" (девять точек), ""ГиД"" и ""Региональная сеть предприятий питания"" (ООО ""СПП""). 
Выручка российских ""дочек"" компании в 2021 году составила 128,8 млрд рублей, следует из данных компаний, опубликованных в аналитической системе ""СПАРК-Интерфакс"" (ООО ""Макдоналдс"", ЗАО ""Москва-Макдоналдс"", ООО ""СРП"", ""ЮРП"" и ""ДВРП""). В прошлом году российские компании направили на выплату дивидендов материнским структурам 10,1 млрд рублей.
Суммарные инвестиции McDonald's в РФ составили $2,5 млрд. Налоговые выплаты компании составили 167 млрд рублей.
CEO McDonald's Крис Кемпчински, комментируя уход с российского рынка, отмечал, что это было непростым решением и его будет непросто реализовать, учитывая масштабы бизнеса и текущие операционные сложности, связанные с РФ.
""Именно надежда привела McDonald's на российский рынок 32 года назад. Надежда на страну, которая открывалась миру после десятилетий изоляции. Надежда, что мир становится немного более связанным - и что возможность получить в Москве тот же ""Биг-Мак"", что и в Чикаго, является реальным (и вкусным) символом нашей растущей связи"", - писал он в обращении к сотрудникам и партнерам, опубликованном на сайте компании.
""Невозможно предсказать, что случится в будущем, но я хотел бы закончить свое обращение тем же, что привело McDonald's в Россию: надеждой. Поэтому давайте не будем говорить ""Прощайте"", вместо этого скажем по-русски ""До свидания"", - заявил глава компании.
Глава Минпромторга РФ Денис Мантуров назвал решение о продаже бизнеса McDonald's в РФ местному партнеру ""итогом продолжительного и непростого переговорного процесса"".
""Важно, что в результате достигнутых договоренностей продолжится работа крупной сети заведений общепита, а рабочие места сохраняются с гарантией соблюдения новым собственником ранее принятых обязательств перед сотрудниками. Минпромторг России со своей стороны будет оказывать российским собственникам все необходимое содействие в налаживании работы"", - заявил Мантуров (его слова распространила пресс-служба министерства).","19.05.2022, 16:55",https://ru.investing.com/news/economy/article-2155573
"За полугодие ""Росинтер"" увеличил выручку на 67%","© Reuters. За полугодие ""Росинтер"" увеличил выручку на 67%

В частности, выручка ресторанов выросла на 68%, до 2,818 млрд рублей (выручка от франчайзинга - на 64,8%, до 72 млн рублей), сообщила компания.
Чистый убыток ""Росинтера"" по МСФО (IAS 17) сократился до 35 млн рублей с 487 млн рублей годом ранее. По МСФО 16 ""Росинтер"" получил чистую прибыль в размере 10 млн рублей после убытка в 1,031 млрд рублей в первом полугодии прошлого года.
EBITDA компании до обесценений и списаний (IAS 17) составила 278 млн рублей по сравнению с отрицательным показателем в 110 млн рублей годом ранее. Рентабельность EBITDA составила 9,5%.
Валовая прибыль повысилась до 428 млн рублей с 11 млн рублей. Валовая маржа составила 14,7% против 0,6% год назад.
Себестоимость реализации выросла на 43,3%, до 2,488 млрд рублей, в том числе продуктов и напитков - на 78,5%, до 572 млн рублей.
Консолидированная операционная (системная) выручка ""Росинтера"" в первом полугодии выросла на 69%, до 4,719 млрд рублей.
""Росинтер Ресторантс Холдинг"" развивает ресторанные сети ""IL Патио"", ""Планета Суши"", ""Шикари"", ""Американский Бар и Гриль"", ""Мама Раша"", а также управляет по франчайзингу сетью американских ресторанов TGI Fridays и сетью британских кофеен Costa Coffee. В марте 2012 года ООО ""Развитие Рост"" (дочернее предприятие холдинга) получило право на развитие сети ресторанов быстрого обслуживания ""Макдоналдс"" по франчайзингу на железнодорожных вокзалах и в аэропортах Москвы и Санкт-Петербурга.","27.08.2021, 15:35",https://ru.investing.com/news/stock-market-news/article-2079623
McDonald's в 2020 году впервые сократил выручку в России,"McDonald's в 2020 году впервые сократил выручку в России

В частности, ООО ""Макдоналдс"" сократило выручку на 0,8%, до 57,957 млрд рублей, ЗАО ""Москва-Макдоналдс"" - на 4,3%, до 18,015 млрд рублей.
Выручка ООО ""СРП"" упала на 7,8%, до 14,612 млрд рублей, ООО ""ЮРП"" - на 4,4%, до 9,77 млрд рублей. Эти компании объединяют предприятия быстрого питания McDonald's на юге и северо-западе России, они были созданы в 2018 году для упрощения управления активами в разных регионах. В конце 2020 года McDonald's создал ""дочку"" для развития на Дальнем Востоке - ООО ""ДВРП"" (за прошлый год компания отразила выручку в 23,58 млн рублей).
Сеть McDonald's в России также развивается по франчайзингу. Самым крупным по выручке франчайзи является ООО ""Региональная сеть предприятий питания"" (СПП). Выручка этой компании по итогам 2020 года выросла на 2,8%, до 11,864 млрд рублей. Выручка другого партнера сети - ООО ""ГиД"" - также увеличилась (на 6,9%, до 1,32 млрд рублей). Еще один франчайзи - ООО ""Развитие Рост"" (структура ПАО ""Росинтер (MCX:ROST) Ресторантс Холдинг"" (MOEX: ROST)) - сократил выручку (на 29,8%, до 511,65 млн рублей).ROST ) Ресторантс Холдинг"" (MOEX: ROST)) - сократил выручку (на 29,8%, до 511,65 млн рублей). 
Общая выручка сети McDonald's в России (с учетом показателей четырех корпоративных структур и трех франчайзинговых) в прошлом году сократилась на 2,3%, до 114,05 млрд рублей (в 2019 году этот показатель вырос на 18,9%).
Несмотря на снижение выручки, основная операционная структура McDonald's в России - ООО ""Макдоналдс"" - увеличила прибыль на фоне оптимизации расходов. Валовая прибыль компании в 2020 году выросла на 23,5%, до 9,484 млрд рублей. Коммерческие расходы снизились на 2,4% (до 2,793 млрд рублей), управленческие - на 3,3% (до 1,184 млрд рублей). Прибыль от продаж повысилась на 53,3%, до 5,507 млрд рублей, чистая прибыль - на 17,1%, до 3,349 млрд рублей.
Чистая прибыль ЗАО ""Москва-Макдоналдс"" в прошлом году снизилась на 17,7%, до 1,29 млрд рублей. Чистая прибыль СРП подскочила в 11,7 раза, до 426,1 млн рублей, ЮРП - в 3 раза, до 574,8 млн рублей.
Американская McDonald's Corp (NYSE:MCD). - крупнейшая в мире сеть ресторанов быстрого обслуживания. В России она объединяет более 780 точек в 60 субъектах. Суммарный объем инвестиций компании в России превышает $2,5 млрд.MCD ). - крупнейшая в мире сеть ресторанов быстрого обслуживания. В России она объединяет более 780 точек в 60 субъектах. Суммарный объем инвестиций компании в России превышает $2,5 млрд. 
Конкуренты McDonald's, работающие в сегменте быстрого обслуживания, также сократили выручку в России в 2020 году.
По данным Росстата, по итогам 2020 года российский ресторанный рынок упал на 20,7% (до 1,35 трлн рублей). Самыми неудачными месяцами для отрасли оказались апрель и май (падение на 52,6% и на 52,9% соответственно), когда в условиях локдауна предприятия общепита могли работать только для обслуживания заказов навынос и доставки.","09.04.2021, 18:32",https://ru.investing.com/news/economy/article-2047257
"Выручка ""Росинтера"" по МСФО в 2019 году увеличилась на 1,1%, убыток вырос","Выручка ""Росинтера"" по МСФО в 2019 году увеличилась на 1,1%, убыток вырос

В 2019 году на операционные показатели значимо повлияла задержка в открытии терминалов аэропортов, в которых ""Росинтер"" в 2018-2019 году строил комплекс ресторанов, а также перераспределение трафика в некоторых транспортных узлах. Также в начале года после ввода в эксплуатацию строящихся объектов компания перестала капитализировать проценты по целевым кредитам, привлеченным на обновление и строительство ресторанов в 2018 году. Эти факторы привели к чистому убытку по итогам прошлого года, пояснила компания.
Валовая прибыль ""Росинтера"" в 2019 году снизилась на 17,3%, до 1,05 млрд рублей. Валовая маржа сократилась до 13,6% с 16,7% годом ранее под давлением роста расходов на аренду.
EBITDA до обесценений и списаний сократилась на 0,2%, до 480,28 млн рублей. Рентабельность этого показателя составила 6,2% против 6,3% в 2018 году.
""В 2019 году ""Росинтер Ресторантс"" фокусировался на повышении эффективности операционной деятельности, что было обусловлено общей рыночной ситуацией - снижением потребительского спроса и высокой конкуренцией в сегменте casual dining. Благодаря инициативам в области операционной эффективности, развитию сети на транспортных узлах, а также реализации франчайзинговой стратегии ""Росинтер Ресторантс"" увеличил системную выручку (совокупную выручку корпоративных и франчайзинговых ресторанов - ИФ) на 3%, до 10,5 млрд рублей, где 29% составляет доля франчайзинговых ресторанов"", - сказала президент ""Росинтера"" Маргарита Костеева, чьи слова приводятся в сообщении.
С начала 2019 года под брендами ""Росинтера"" было открыто 18 ресторанов, в том числе 8 франчайзинговых. Портфель ресторанов компании на конец 2019 года объединял 250 объектов, расположенных в 28 городах России, СНГ и Центральной Европы
""Росинтер"" развивает собственные бренды ""IL Патио"", ""Планета суши"", ""Шикари"", ""Американский бар и гриль"", ""Мама Раша"", управляет по системе франчайзинга сетью американских ресторанов под брендом TGI Fridays и британских кофеен Costa Coffee, а также имеет право открывать по франчайзингу предприятия McDonald`s на железнодорожных вокзалах и в аэропортах Москвы и Санкт-Петербурга.
По словам Костеевой, ""Росинтер"" ""начал 2020 год с хорошим ростом EBITDA, но в начале марта столкнулся с серьезным оттоком трафика из-за влияния COVID-19, а затем практически полной остановкой коммерческой деятельности в связи с закрытием ресторанов по всей России с 28 марта 2020 года"".
В настоящий момент работают рестораны ""Росинтера"" в Москве, Подмосковье, на транспортных узлах (за исключением ресторанов, расположенных в стерильных зонах международных линий). После отмены карантинных мер ""Росинтер"" планирует поэтапно возобновить работу не менее 95% сети.","25.07.2020, 10:45",https://ru.investing.com/news/economy/article-1986573
Рестораторы попросили правительство поддержать их вместе с МСП,"Рестораторы попросили правительство поддержать их вместе с МСП

""Формально не являясь субъектами МСП, мы оказываемся вне тех мер, которые уже объявлены и которые рассматриваются в настоящее время в правительстве. Мы просим вас поддержать меры, которые представлены для вашего рассмотрения Минпромторгом России и расширить рамки предприятий за пределы МСП, включив в них и крупные предприятия ресторанной отрасли"", - говорится в письме (копию документа предоставила пресс-служба сети ""Теремок"").
В числе тех, кто должен подписать письмо, указаны президент Федерации рестораторов и отельеров Игорь Бухаров, основатель группы компаний ""Шоколадница"" Александр Колобов, основатель гастрономической академии и сети ресторанов ""Грабли"" Роман Рожниковский, основатель компании ""Росинтер (MCX:ROST) Ресторанс Холдинг"" Ростислав Ордовский-Танаевский Бланко, основатель ""Теремка"" Михаил Гончаров, основатель компании Zамания Павел Ковшаров и основательница сети семейных кафе ""Андерсон"" Анастасия Татулова.ROST ) Ресторанс Холдинг"" Ростислав Ордовский-Танаевский Бланко, основатель ""Теремка"" Михаил Гончаров, основатель компании Zамания Павел Ковшаров и основательница сети семейных кафе ""Андерсон"" Анастасия Татулова. 
""В настоящее время в правительстве рассматривается пакет мер от министерства промышленности и торговли по поддержке бизнеса. Наши предприятия рискуют оказаться за рамками этих мер, ввиду досадной ошибки в позиционировании этой помощи. Все дело в так называемом термине МСП (малое и среднее предпринимательство). Наши компании созданы 10-20-30 лет назад и давно прошли путь от малого бизнеса до флагманов отрасли, выйдя за рамки среднего бизнеса. Работая в системе ОСНО, мы ушли от форматов ИП, УСНО, консолидировали бизнес и теперь оказались в самом трудном положении в нашей отрасли"", - говорится в письме.
""При этом мы полностью декларируем выручку, являемся крупнейшими налогоплательщиками в отрасли. На наших предприятиях трудится более 30 тыс. сотрудников, и за 2019 год мы заплатили более 10 млрд рублей налогов. У каждой из наших компаний до 500 поставщиков, на которых трудятся еще десятки тысяч сотрудников"", - отмечается в тексте.
""И вот теперь мы поставлены на грань разорения. Ввиду падения оборотов на 50-80% и последующей приостановки деятельности мы уже получили кассовые разрывы невероятных размеров и физически не имеем средств для начисления зарплат, налогов, возвращения кредитов и ведения дальнейшей деятельности"", - пожаловались рестораторы.
В пресс-службе ПАО ""Росинтер Ресторантс Холдинг"" подтвердили, что основатель компании подписал обращение к Мишустину. ""Правительство разрабатывает много хороших правильных мер, но в основном для малых и средних предприятий. Туда не попадают крупнейшие компании ресторанной отрасли, работающие в ОСНО, которые официально платят огромное количество налогов. И так как налоговая база крупных компаний гораздо больше, они оказались в более сложном положении, чем те, которые работают в УСНО и ИП"", - сказал Ордовский-Танаевский Бланко (его слова передал представитель ""Росинтера"").
""Крайне актуален сейчас вопрос по выплате государством пособий по безработице для огромного количества сотрудников отрасли, которые уже потеряли источник существования"", - добавил он.
Из-за ограничений, введенных властями для борьбы с распространением коронавируса, рестораны могут работать только в режиме обслуживания заказов навынос и доставки. При этом только 30 из примерно 250 ресторанов ""Росинтера"" продолжают работать, остальные закрылись, говорил Ростислав Ордовский-Танаевский Бланко в интервью ""РБК ТВ"".
Президент РФ Владимир Путин объявил нерабочими дни с субботы, 28 марта, по воскресенье, 5 апреля. ""Длинные выходные"" предусмотрены, чтобы снизить скорость распространения коронавируса в России.
В Москве и других регионах закрыты магазины, за исключением аптек, продуктовых магазинов и магазинов с товарами первой необходимости, рестораны и кафе. Кроме того, в Москве и Подмосковье с 30 марта был введен режим самоизоляции для всех жителей. Затем аналогичные ограничения начали вводить власти в других регионах.","02.04.2020, 13:51",https://ru.investing.com/news/economy/article-1959917
"Выручка ""Росинтера"" по МСФО в 2018 году увеличилась на 10%","Выручка ""Росинтера"" по МСФО в 2018 году увеличилась на 10%

EBITDA до обесценения и списаний выросла на 19,1%, до 481,05 млн рублей, рентабельность этого показателя повысилась до 6,3% с 5,8% в 2017 году. Чистый убыток ""Росинтера"" в 2018 году составил 82,635 млн рублей по сравнению с чистой прибылью в размере 8,127 млн рублей годом ранее.
""Наличие чистого убытка объясняется агрессивной инвестиционной политикой, в результате которой компания в 2018 году значительно нарастила свое присутствие в транспортных узлах и торговых центрах Москвы. Большинство ресторанов было открыто в конце 2018 года, поэтому финансовый эффект от расширения сети мы увидим в результатах компании в течение 2019 года"", - отметил CFO ""Росинтера"" Алексей Шорохов, процитированный в сообщении. По его словам, основная задача компании - снижение долговой нагрузки и приведение показателя долг / EBITDA к комфортному уровню.
По итогам 2018 года соотношение чистого долга к EBITDA ""Росинтера"" выросло до 7,8х с 7,2х годом ранее. Без учета расходов на развитие сети этот показатель, по оценке компании, составлял около 6,0х.
В прошлом году ""Росинтер"" открыл 35 новых ресторанов, в том числе 21 корпоративных и 14 франчайзинговых. Затраты на открытие ресторанов выросли в 2,2 раза по сравнению с 2017 годом, до 151 млн рублей.
Коммерческие, общехозяйственные и административные расходы снизились на 9,1%, до 843,69 млн рублей (до 11% с 13,3% от выручки), что связано с проводимой в течение последних лет кампанией по снижению и оптимизации расходов.
""Итоги 2018 года показывают устойчивый тренд роста выручки ""Росинтера"", что связано с последовательной реализацией стратегии компании по повышению эффективности и выходу из неприбыльных активов в 2016-2017 годах, а затем интенсивному развитию сети под ключевыми ресторанными брендами и выходу на операционный рост в 2018 году"", - отметил президент ""Росинтера"" Сергей Зайцев, процитированный в сообщении.
Выручка ресторанов в 2018 году выросла на 9,8%, до 7,37 млрд рублей, выручка от франчайзинга - на 17,4%, до 211,38 млн рублей. Выручка сопоставимых ресторанов увеличилась на 4,6% благодаря росту количества транзакций на 2,9% и среднего чека на 1,6%.
""После периода интенсивного роста корпоративной сети наша цель на 2019 год - развитие франчайзинга и увеличение EBITDA за счет повышения эффективности текущей модели бизнеса"", - отметил С.Зайцев. По его словам, компания сфокусируется на развитии доставки, программы лояльности и применении персонифицированного подхода в маркетинговых коммуникациях. Еще одна цель - ""выведение на максимальную финансовую эффективность новых локаций в транспортных узлах, открытых в 2018 году"".
""Росинтер Ресторантс Холдинг"" - один из крупнейших операторов в сегменте семейных ресторанов (casual dining restaurants) в России, который управляет 270 предприятиями в 27 городах РФ, стран СНГ и Центральной Европы, включая страны Балтии. В состав сети входит 162 корпоративных и 108 франчайзинговых ресторанов и кафе (по данным на конец I квартала). Компания развивает собственные торговые марки ""IL Патио"", ""Планета суши"", ""Шикари"", ""Американский бар и гриль"", ""Мама Раша"", а также управляет по системе франчайзинга сетью американских ресторанов под брандом TGI Fridays и сетью британских кофеен Costa Coffee. В марте 2012 года ООО ""Развитие РОСТ"" (дочернее предприятие холдинга) получило право на развитие сети ресторанов быстрого обслуживания ""Макдоналдс"" по франчайзингу на железнодорожных вокзалах и в аэропортах Москвы и Санкт-Петербурга.","29.04.2019, 18:14",https://ru.investing.com/news/economy/article-613497
В 2018 году McDonald`s сохранит темпы роста сети в России,"© Reuters. В 2018 году McDonald`s сохранит темпы роста сети в России
McDonald`s планирует сохранить темпы роста сети в России в 2018 году.
""Открыв более 40 новых предприятий в 2017 году, компания намерена сохранить темпы развития в 2018 году, продолжая модернизировать уже существующие предприятия в соответствии с приоритетными для McDonald`s направлениями"", - говорится в сообщении компании. ""В 2017 наша доля рынка выросла и в сегменте питания вне дома, и в более узком сегменте ресторанов быстрого обслуживания"", - сказал генеральный директор McDonald`s в России Алексей Семенов, чьи слова приводятся в пресс-релизе.
Сеть McDonald`s на российском рынке объединяет 645 предприятий в 120 городах, в том числе 96 предприятий, которыми управляют франчайзинговые партнеры компании: ООО ""Развитие Рост"" (структура ""Росинтер (MCX:ROST) Ресторантс"") управляет тремя ресторанами в крупнейших российских аэропортах; ООО ""Гид"" управляет 15 предприятиями и развивает бизнес под брендом McDonald`s в Новосибирской, Томской, Кемеровской областях, республике Алтай, Алтайском Крае, Красноярском крае; ООО ""СПП"" управляет 78 предприятиями и развивает бизнес под брендом McDonald`s в Свердловской, Оренбургской, Челябинской, Курганской, Тюменской, Кировской областях, Пермском крае, Башкирии, Татарстане, Коми, Марий Эл, Чувашии, Удмуртии. McDonald`s продолжает изучать возможности для потенциального сотрудничества в области франчайзинга, чтобы более активно развивать бизнес в России отметила компания.ROST ) Ресторантс"") управляет тремя ресторанами в крупнейших российских аэропортах; ООО ""Гид"" управляет 15 предприятиями и развивает бизнес под брендом McDonald`s в Новосибирской, Томской, Кемеровской областях, республике Алтай, Алтайском Крае, Красноярском крае; ООО ""СПП"" управляет 78 предприятиями и развивает бизнес под брендом McDonald`s в Свердловской, Оренбургской, Челябинской, Курганской, Тюменской, Кировской областях, Пермском крае, Башкирии, Татарстане, Коми, Марий Эл, Чувашии, Удмуртии. McDonald`s продолжает изучать возможности для потенциального сотрудничества в области франчайзинга, чтобы более активно развивать бизнес в России отметила компания. 
В 2017 году McDonald`s совместно с UberEats запустил сервис доставки на российском рынке, сейчас заказы осуществляются из более 70 ресторанов Москвы. Компания планирует расширить географию доставки, но детали не раскрывает.
Около 95% продукции McDonald`s в России поставляют отечественные поставщики - на сегодняшний день это более 160 компаний. В ближайшее время все основные категории меню будут производиться в России.","09.02.2018, 10:47",https://ru.investing.com/news/economy/article-530901
"Выручка ""Росинтер"" в 2016 году сократилась на 6,1%","Выручка ""Росинтер"" в 2016 году сократилась на 6,1%

EBITDA до начисления обесценения и списаний увеличилась до 718 млн рублей с 303 млн рублей годом ранее. Рентабельность по этому показателю выросла до 10% с 4% соответственно.
Чистая прибыль компании в 2016 году составила 6,436 млн рублей. 2015 год ""Росинтер"" завершил с убытком в 391,6 млн рублей.
Выручка корпоративных ресторанов сократилась на 6,5% и составила 6,977 млрд рублей. Снижение связано, в основном, с оптимизацией портфеля ресторанов, говорится в сообщении компании. За счет выхода из неприбыльных локаций выручка снизилась на 10,5% по сравнению с выручкой за 2015 год. Данный эффект был частично компенсирован ростом выручки новых ресторанов на 4,0%. Валовая выручка сопоставимых ресторанов за 2016 год практически не изменилась в результате разнонаправленного влияния увеличения среднего чека на 11,7% и снижения количества транзакций на 10,6%.
Рентабельность валовой прибыли увеличилась до 14,7% в 2016 году с 13,5% в 2015 году, что в основном было связано со снижением расходов по аренде и расходов на продукты питания – все показатели рассчитаны как процент от выручки.
Расходы на продукты питания снизились на 50 базисных пунктов, как результат долгосрочных стратегических взаимоотношений с поставщиками – рассчитано как процент от выручки.
Расходы по аренде сократились до 24,7% от выручки в 2016 году с 25,4% в 2015 году, как результат снижения арендных ставок по итогам проведённых переговоров с арендодателями.","25.04.2017, 12:36",https://ru.investing.com/news/economy-news/article-286930
К 2018 году McDonald's намерен открыть в России около 125 ресторанов,"© Reuters. К 2018 году McDonald's намерен открыть в России около 125 ресторанов
В текущем году McDonald's планирует открыть в России 60-65 ресторанов, в 2017 году - около 60, сообщил управляющий директор компании в России Алексей Семенов.
По его словам, открытие ресторанов планируется как в городах присутствия, так и в новых локациях. В частности, в текущем году были открыты точки в Новокузнецке, Кемерово и Томске. Выходить на Дальний Восток McDonald's пока не планирует. ""Это не перспектива ближайших пяти лет. Может быть 8-10 лет"", - сказал А.Семенов, уточнив, что для Дальнем Востоке есть ряд логистических трудностей и сложности с поиском поставщиков.
Также он отметил, что в 2016-2017 годах планируется открытие ресторана в одном из аэропортов Москвы. ""Есть рестораны в аэропортах (""Пулково""), на заправках. На железнодорожных вокзалах нас пока нет, но, надеюсь, что скоро там появимся"", - сказал А.Семенов.
Говоря о планах по финпоказателям компании в РФ на текущий год, управляющий директор отметил, что прогнозируется небольшой рост выручки по сравнению с прошлым годом, и сохранение или незначительный рост чистой прибыли. Прогноз на 2017 год он не уточнил, добавив, что в целом по рынку питания вне дома в РФ компания ожидает ""либо стагнацию, либо рост 1-2%"".
Как сообщил А.Семенов, на этот год объём инвестиций компании в открытие и модернизацию ресторанов запланирован на уровне около 9 млрд рублей, из которых около 900 млн рублей - инвестиции в Петербург и Ленобласть. ""Наверное, этот темп будем стараться удерживать в будущем"", - отметил он. По его словам, к 2017 году в РФ останется ""менее 2-3%"" не обновлённых ресторанов, их модернизация завершится в 2017 году.
Управляющий директор уточнил, что примерно 2/3-3/4 инвестиций в РФ приходится на открытие новых ресторанов, остальное - на модернизацию существующих точек. При этом, добавил он, компания вкладывает собственные средства, редко привлекая заимствования.
Также А.Семенов отметил, что McDonald's изучает возможность организации сервиса доставки еды, однако неизвестно, какая эта будет линейка продуктов, и как эта идея в итоге будет реализована. Более конкретные проработки по данной теме, сказал он, могут появиться через полтора-два года.
Кроме того, напомнил управляющий директор, McDonald's развивает и франчайзинговые проекты, в частности, с компанией ""Росинтер (MCX:ROST)"". Также в завершающей стадии находится сделка с одним из партнеров, который развивает рестораны компании в Казахстане и Белоруссии. ""Это плодотворное сотрудничество, выгодное всем сторонам"", - сказал он, не уточнив детали проекта.ROST )"". Также в завершающей стадии находится сделка с одним из партнеров, который развивает рестораны компании в Казахстане и Белоруссии. ""Это плодотворное сотрудничество, выгодное всем сторонам"", - сказал он, не уточнив детали проекта. 
В настоящее время у McDonald's 574 ресторана в РФ, 59 из них были открыты в 2015 году.","07.09.2016, 14:58",https://ru.investing.com/news/stock-market-news/article-248713
